Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Day-of-Week,Day-Ahead-LMP-price
4/1/2021,12:51:00 AM,55 °F,53 °F,93 %,SE,5 mph,0 mph,29.59 in,0.1 in,Light Rain,5,17.96
4/1/2021,1:51:00 AM,54 °F,52 °F,93 %,NNW,12 mph,0 mph,29.55 in,0.0 in,Light Rain,5,16.05
4/1/2021,2:51:00 AM,49 °F,45 °F,86 %,NW,14 mph,0 mph,29.51 in,0.0 in,Light Rain,5,15.21
4/1/2021,3:51:00 AM,49 °F,43 °F,80 %,NNW,10 mph,0 mph,29.49 in,0.0 in,Cloudy,5,16.17
4/1/2021,4:51:00 AM,47 °F,43 °F,86 %,NNW,14 mph,0 mph,29.48 in,0.0 in,Light Drizzle,5,17.37
4/1/2021,5:51:00 AM,46 °F,40 °F,79 %,NNW,18 mph,29 mph,29.50 in,0.0 in,Light Drizzle,5,19.26
4/1/2021,6:50:00 AM,44 °F,35 °F,71 %,NNW,20 mph,32 mph,29.55 in,0.0 in,Cloudy,5,22.04
4/1/2021,7:51:00 AM,43 °F,34 °F,71 %,NNW,13 mph,0 mph,29.57 in,0.0 in,Light Rain,5,22.94
4/1/2021,8:51:00 AM,43 °F,33 °F,68 %,NNW,14 mph,20 mph,29.56 in,0.0 in,Cloudy,5,24.65
4/1/2021,9:51:00 AM,43 °F,33 °F,68 %,NNW,15 mph,24 mph,29.56 in,0.0 in,Light Rain,5,31.42
4/1/2021,10:51:00 AM,45 °F,33 °F,63 %,NNW,13 mph,0 mph,29.58 in,0.0 in,Light Rain,5,29.91
4/1/2021,11:51:00 AM,46 °F,33 °F,61 %,NW,16 mph,23 mph,29.57 in,0.0 in,Cloudy,5,30.12
4/1/2021,12:51:00 PM,48 °F,32 °F,54 %,NW,13 mph,0 mph,29.57 in,0.0 in,Cloudy,5,29.69
4/1/2021,1:51:00 PM,47 °F,30 °F,52 %,NNW,17 mph,25 mph,29.56 in,0.0 in,Cloudy,5,24.75
4/1/2021,2:51:00 PM,47 °F,29 °F,50 %,NNW,18 mph,23 mph,29.59 in,0.0 in,Cloudy,5,23.56
4/1/2021,3:51:00 PM,45 °F,31 °F,58 %,WNW,18 mph,0 mph,29.61 in,0.0 in,Cloudy,5,22.11
4/1/2021,4:51:00 PM,44 °F,30 °F,58 %,WNW,17 mph,24 mph,29.63 in,0.0 in,Cloudy,5,24.58
4/1/2021,5:51:00 PM,44 °F,31 °F,60 %,NW,12 mph,0 mph,29.65 in,0.0 in,Cloudy,5,30.34
4/1/2021,6:51:00 PM,44 °F,28 °F,53 %,NNW,7 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy,5,29.43
4/1/2021,7:51:00 PM,41 °F,25 °F,53 %,NW,15 mph,0 mph,29.70 in,0.0 in,Partly Cloudy,5,34.72
4/1/2021,8:51:00 PM,40 °F,23 °F,51 %,NNW,14 mph,0 mph,29.73 in,0.0 in,Fair,5,28.63
4/1/2021,9:51:00 PM,39 °F,22 °F,50 %,NNW,15 mph,23 mph,29.76 in,0.0 in,Mostly Cloudy,5,29.38
4/1/2021,10:51:00 PM,37 °F,22 °F,54 %,NNW,14 mph,22 mph,29.78 in,0.0 in,Fair,5,27.82
4/1/2021,11:51:00 PM,35 °F,20 °F,54 %,NNW,6 mph,0 mph,29.78 in,0.0 in,Fair,5,27.48
